,Number of Image Familiarity,Security Values,Online Security Importance,Quick Log In Importance,Usability Importance,Convenience Importance,Log In Satisfaction,MFA Use
0,3,2.0,6.0,7.0,7.0,5.0,5.0,2.0
1,5,2.0,3.0,8.0,6.0,3.0,5.0,3.0
2,3,2.0,2.0,6.0,5.0,4.0,4.0,3.0
3,4,2.0,6.0,8.0,7.0,6.0,7.0,2.0
4,4,2.0,6.0,8.0,7.0,6.0,7.0,2.0
5,3,2.0,6.0,6.0,7.0,6.0,6.0,3.0
6,5,2.0,6.0,3.0,7.0,6.0,7.0,2.0
7,2,2.0,6.0,8.0,5.0,3.0,3.0,0.0
8,2,2.0,2.0,7.0,6.0,5.0,4.0,2.0
9,2,2.0,6.0,8.0,4.0,3.0,2.0,3.0
10,2,2.0,6.0,8.0,7.0,6.0,5.0,2.0
11,3,2.0,6.0,8.0,7.0,6.0,7.0,3.0
12,5,2.0,6.0,8.0,7.0,6.0,6.0,3.0
13,4,2.0,6.0,8.0,7.0,6.0,3.0,0.0
14,3,2.0,6.0,8.0,7.0,6.0,4.0,0.0
15,3,2.0,6.0,6.0,7.0,4.0,7.0,0.0
16,4,2.0,6.0,7.0,6.0,6.0,6.0,2.0
17,4,2.0,5.0,5.0,5.0,3.0,4.0,0.0
18,0,2.0,6.0,6.0,5.0,4.0,5.0,1.0
19,4,2.0,1.0,4.0,3.0,2.0,2.0,0.0
20,5,2.0,6.0,5.0,7.0,4.0,7.0,2.0
21,5,2.0,6.0,8.0,7.0,6.0,7.0,0.0
22,3,2.0,6.0,8.0,7.0,6.0,7.0,3.0
23,2,2.0,6.0,7.0,6.0,4.0,6.0,0.0
24,4,2.0,6.0,6.0,7.0,3.0,3.0,2.0
25,3,2.0,5.0,7.0,6.0,4.0,5.0,0.0
26,3,2.0,6.0,7.0,7.0,5.0,5.0,0.0
27,4,2.0,6.0,8.0,7.0,6.0,5.0,2.0
28,3,2.0,5.0,7.0,5.0,5.0,2.0,2.0
29,2,0.0,5.0,6.0,4.0,4.0,5.0,3.0
30,5,2.0,6.0,8.0,7.0,6.0,5.0,3.0
31,3,2.0,6.0,8.0,5.0,6.0,3.0,3.0
32,5,2.0,6.0,4.0,3.0,2.0,6.0,0.0
33,0,2.0,6.0,8.0,7.0,5.0,7.0,2.0
34,5,2.0,6.0,8.0,7.0,6.0,6.0,2.0
35,4,2.0,4.0,8.0,7.0,6.0,5.0,0.0
36,4,2.0,6.0,3.0,5.0,6.0,5.0,0.0
37,4,2.0,6.0,8.0,7.0,6.0,0.0,0.0
38,3,2.0,6.0,6.0,1.0,6.0,2.0,3.0
39,3,2.0,6.0,8.0,7.0,6.0,7.0,0.0
40,5,2.0,5.0,7.0,0.0,5.0,6.0,3.0
41,5,2.0,4.0,6.0,6.0,4.0,4.0,2.0
42,5,2.0,6.0,4.0,6.0,1.0,6.0,3.0
43,5,2.0,6.0,8.0,7.0,6.0,5.0,2.0
44,4,2.0,6.0,8.0,7.0,6.0,3.0,3.0
45,5,2.0,6.0,8.0,7.0,6.0,5.0,2.0
46,5,2.0,5.0,8.0,5.0,0.0,7.0,2.0
47,3,2.0,5.0,5.0,3.0,2.0,4.0,3.0
48,5,2.0,6.0,8.0,7.0,6.0,5.0,3.0
49,5,2.0,6.0,8.0,5.0,4.0,7.0,0.0
50,4,2.0,5.0,7.0,7.0,6.0,5.0,0.0
51,3,2.0,4.0,7.0,5.0,4.0,5.0,3.0
52,3,1.0,6.0,7.0,5.0,5.0,4.0,1.0
53,0,2.0,6.0,8.0,7.0,6.0,4.0,2.0
54,4,2.0,6.0,8.0,7.0,6.0,7.0,2.0
55,1,2.0,6.0,8.0,5.0,6.0,5.0,3.0
56,3,2.0,3.0,6.0,5.0,4.0,5.0,3.0
57,4,1.0,6.0,5.0,3.0,5.0,6.0,3.0
58,3,2.0,6.0,8.0,7.0,6.0,7.0,3.0
59,3,2.0,6.0,6.0,5.0,6.0,7.0,2.0
60,2,2.0,6.0,4.0,7.0,6.0,5.0,3.0
61,3,2.0,6.0,8.0,7.0,6.0,7.0,0.0
62,5,2.0,6.0,8.0,7.0,6.0,4.0,0.0
63,5,2.0,4.0,8.0,7.0,6.0,5.0,3.0
64,4,2.0,6.0,8.0,7.0,5.0,5.0,3.0
65,4,2.0,6.0,7.0,6.0,5.0,7.0,0.0
66,3,2.0,6.0,7.0,6.0,3.0,7.0,2.0
67,2,2.0,6.0,7.0,4.0,5.0,6.0,3.0
68,4,2.0,5.0,8.0,6.0,6.0,5.0,0.0
69,5,2.0,3.0,6.0,4.0,4.0,4.0,2.0
70,5,2.0,6.0,8.0,6.0,6.0,7.0,3.0
71,3,2.0,5.0,7.0,7.0,5.0,7.0,0.0
72,2,2.0,6.0,6.0,6.0,4.0,5.0,2.0
73,4,2.0,6.0,8.0,7.0,6.0,5.0,2.0
74,4,2.0,4.0,7.0,6.0,5.0,2.0,0.0
75,5,2.0,6.0,8.0,5.0,6.0,4.0,3.0
76,4,2.0,6.0,8.0,7.0,6.0,7.0,3.0
77,4,2.0,6.0,7.0,4.0,3.0,6.0,3.0
78,5,2.0,5.0,8.0,7.0,6.0,4.0,2.0
79,4,2.0,6.0,1.0,3.0,2.0,4.0,3.0
80,4,2.0,6.0,8.0,7.0,6.0,2.0,0.0
81,5,2.0,6.0,7.0,6.0,6.0,6.0,0.0
82,4,2.0,6.0,8.0,7.0,6.0,3.0,2.0
83,3,2.0,2.0,8.0,5.0,5.0,6.0,3.0
84,3,2.0,6.0,8.0,7.0,4.0,7.0,2.0
85,0,2.0,6.0,5.0,7.0,6.0,5.0,3.0
86,5,2.0,6.0,8.0,7.0,6.0,7.0,3.0
87,3,2.0,5.0,7.0,5.0,5.0,4.0,2.0
88,1,2.0,4.0,7.0,5.0,4.0,6.0,2.0
89,4,2.0,6.0,8.0,7.0,6.0,6.0,0.0
90,2,0.0,6.0,7.0,6.0,5.0,6.0,3.0
91,3,2.0,6.0,8.0,7.0,6.0,6.0,2.0
92,5,2.0,5.0,8.0,6.0,5.0,6.0,2.0
93,5,2.0,6.0,7.0,7.0,6.0,4.0,0.0
94,3,2.0,6.0,7.0,6.0,6.0,6.0,2.0
95,4,2.0,6.0,7.0,6.0,4.0,7.0,2.0
96,4,2.0,6.0,6.0,5.0,6.0,5.0,3.0
97,3,1.0,5.0,5.0,7.0,5.0,5.0,3.0
98,3,2.0,5.0,7.0,6.0,5.0,7.0,0.0
99,5,2.0,6.0,8.0,7.0,6.0,7.0,0.0
100,3,2.0,3.0,5.0,6.0,6.0,5.0,3.0
101,5,2.0,4.0,8.0,7.0,6.0,5.0,0.0
102,4,2.0,6.0,8.0,6.0,5.0,5.0,0.0
103,4,2.0,3.0,6.0,7.0,5.0,4.0,2.0
104,4,2.0,6.0,8.0,6.0,6.0,6.0,2.0
105,5,2.0,6.0,8.0,6.0,4.0,5.0,2.0
106,5,2.0,5.0,7.0,6.0,5.0,7.0,2.0
107,5,2.0,6.0,8.0,7.0,5.0,7.0,2.0
108,3,2.0,6.0,7.0,7.0,6.0,4.0,3.0
109,5,2.0,6.0,8.0,7.0,6.0,7.0,2.0
110,5,2.0,6.0,8.0,7.0,6.0,7.0,0.0
111,4,2.0,6.0,7.0,6.0,6.0,4.0,2.0
112,5,2.0,5.0,2.0,3.0,4.0,5.0,3.0
113,2,2.0,3.0,6.0,5.0,4.0,6.0,3.0
114,3,2.0,5.0,7.0,6.0,5.0,6.0,0.0
115,4,2.0,6.0,5.0,5.0,6.0,2.0,0.0
116,5,2.0,6.0,5.0,7.0,6.0,1.0,3.0
117,5,2.0,6.0,8.0,7.0,6.0,6.0,2.0
118,4,2.0,6.0,4.0,3.0,3.0,7.0,0.0
119,2,2.0,6.0,7.0,7.0,6.0,6.0,2.0
120,4,0.0,3.0,7.0,6.0,6.0,4.0,3.0
121,0,2.0,4.0,7.0,7.0,6.0,7.0,0.0
122,4,0.0,4.0,5.0,5.0,4.0,6.0,2.0
123,2,2.0,6.0,6.0,6.0,1.0,7.0,2.0
124,2,2.0,4.0,4.0,2.0,0.0,2.0,3.0
125,4,2.0,6.0,7.0,6.0,3.0,6.0,3.0
126,3,2.0,6.0,7.0,7.0,5.0,6.0,0.0
127,4,2.0,6.0,8.0,6.0,6.0,6.0,2.0
128,3,2.0,6.0,8.0,7.0,6.0,7.0,2.0
129,5,2.0,6.0,7.0,6.0,5.0,5.0,2.0
130,4,2.0,6.0,8.0,7.0,6.0,7.0,0.0
131,3,0.0,5.0,8.0,6.0,6.0,5.0,2.0
132,4,2.0,6.0,8.0,7.0,6.0,6.0,0.0
133,4,2.0,6.0,8.0,7.0,6.0,5.0,0.0
134,4,2.0,4.0,8.0,6.0,5.0,3.0,2.0
135,5,2.0,6.0,8.0,7.0,6.0,6.0,2.0
136,3,2.0,6.0,7.0,6.0,4.0,6.0,3.0
137,3,2.0,6.0,8.0,7.0,6.0,7.0,2.0
138,3,2.0,6.0,8.0,7.0,6.0,7.0,2.0
139,4,2.0,0.0,8.0,2.0,4.0,7.0,2.0
140,0,2.0,6.0,7.0,6.0,5.0,6.0,2.0
141,2,2.0,4.0,2.0,4.0,1.0,2.0,2.0
142,4,2.0,6.0,8.0,6.0,5.0,4.0,3.0
143,4,0.0,4.0,6.0,6.0,5.0,4.0,3.0
144,4,2.0,6.0,8.0,7.0,6.0,4.0,2.0
145,4,2.0,6.0,6.0,5.0,6.0,5.0,3.0
146,5,2.0,5.0,5.0,5.0,3.0,6.0,2.0
147,2,2.0,6.0,7.0,5.0,6.0,6.0,2.0
148,5,2.0,3.0,6.0,5.0,4.0,5.0,2.0
149,5,1.0,6.0,8.0,7.0,6.0,7.0,3.0
150,4,2.0,6.0,6.0,5.0,3.0,5.0,3.0
151,4,2.0,6.0,7.0,6.0,5.0,5.0,3.0
152,2,2.0,6.0,7.0,6.0,4.0,4.0,2.0
153,3,2.0,3.0,8.0,7.0,6.0,7.0,3.0
154,5,2.0,6.0,6.0,4.0,4.0,5.0,3.0
155,4,2.0,6.0,8.0,7.0,6.0,7.0,2.0
156,4,2.0,6.0,5.0,5.0,4.0,7.0,2.0
157,0,2.0,2.0,5.0,2.0,1.0,4.0,0.0
158,4,2.0,6.0,6.0,5.0,5.0,5.0,0.0
159,5,2.0,6.0,8.0,5.0,4.0,7.0,0.0
160,2,2.0,6.0,8.0,7.0,6.0,4.0,3.0
161,3,2.0,3.0,8.0,7.0,6.0,5.0,1.0
162,0,2.0,6.0,5.0,4.0,3.0,6.0,3.0
163,4,0.0,5.0,7.0,6.0,6.0,6.0,2.0
164,4,2.0,6.0,8.0,6.0,5.0,7.0,3.0
165,0,2.0,4.0,6.0,6.0,4.0,3.0,3.0
166,2,2.0,4.0,7.0,4.0,3.0,7.0,0.0
167,3,2.0,6.0,6.0,6.0,5.0,5.0,2.0
168,5,2.0,4.0,5.0,5.0,4.0,3.0,3.0
169,5,2.0,6.0,8.0,7.0,6.0,7.0,2.0
170,5,2.0,6.0,8.0,7.0,6.0,7.0,2.0
171,5,2.0,6.0,7.0,6.0,4.0,5.0,3.0
172,5,2.0,6.0,1.0,7.0,6.0,2.0,0.0
173,4,2.0,6.0,8.0,4.0,1.0,6.0,1.0
174,5,2.0,6.0,7.0,5.0,5.0,5.0,2.0
175,4,2.0,4.0,5.0,4.0,3.0,3.0,2.0
176,4,2.0,6.0,4.0,7.0,6.0,6.0,3.0
177,5,2.0,6.0,0.0,2.0,0.0,5.0,3.0
178,5,2.0,6.0,8.0,7.0,6.0,7.0,2.0
179,2,2.0,5.0,7.0,5.0,6.0,5.0,2.0
180,2,0.0,6.0,8.0,6.0,6.0,7.0,2.0
181,2,2.0,6.0,8.0,7.0,6.0,3.0,0.0
182,2,2.0,4.0,8.0,4.0,6.0,4.0,2.0
183,5,2.0,6.0,6.0,5.0,4.0,4.0,2.0
184,5,2.0,6.0,4.0,3.0,2.0,7.0,0.0
185,5,2.0,3.0,5.0,4.0,2.0,7.0,3.0
